language,iso639_3,family,region_group,locality_lambda_per_char,locality_lambda_per_s,half_life_chars,half_life_seconds,memory_cost_bits_char,speech_char_rate_cps,morphology_index,ud_status,D_order,D_structure,ud_morph_feature_density,ud_mean_dependency_distance,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions
Galician,glg,Indo-European,Western Europe,0.5811239874623063,5.96000031155125,1.1927698658367725,0.11629985643063417,9.372855301763035,10.255987431490832,0.6969819402361511,loaded,0.2424686811359309,0.5577102960672566,0.2201528716960699,3.4552572561932045,0.9594958538760352,0.0609132533671693,1.4522704883579964,-1.0271727018322148,99954,19978,16707
Macedonian,mkd,Indo-European,Eastern Europe,0.6081170681508734,6.059503517308033,1.139825235735656,0.11439009459769728,9.743726512224534,9.964370077185,,no_matching_treebank,,,,,0.9587007480410864,0.0693870694238873,1.5877332928697552,-1.6422692686401934,99977,19992,16577
Urdu,urd,Indo-European,South Asia,0.4434841196796916,3.5967199237674614,1.5629582882484585,0.19271647369025427,10.095010805576216,8.110143665043088,0.101435002813638,loaded,1.0867552680843553,0.12267896481728835,0.8366271046094397,3.492981165250796,0.989263788812558,0.0303696713039074,1.4925588954667617,-2.5027054138980644,93263,19988,16468
Khmer,khm,Austroasiatic,South/Southeast Asia,0.6678285825721013,5.7576719912338215,1.0379118214592298,0.1203867086585128,8.544202056182849,8.621481831547996,,no_matching_treebank,,,,,0.9990533066468504,0.0146233375454207,2.2199423561080938,-2.9050094385473395,99980,19982,16729
Estonian,est,Uralic,Eastern Europe,0.5305514587906636,5.252937801838255,1.306465506927267,0.1319541952918955,8.68840133344975,9.90090162754764,0.8941963401640175,loaded,0.11658016470289301,0.9852736358519869,0.6834024397572261,3.158599181339744,0.9411382940068622,0.0671819238793609,1.561117879584237,-2.1841406095214864,99987,19979,16372
Cantonese Chinese,yue,Sino-Tibetan,CJK,0.5006910663987825,1.2463291850983842,1.3843809627868984,0.5561509662515275,15.371478842325365,2.489217940440998,,no_matching_treebank,,,,,0.7884264785729501,0.4224443543312504,1.1227611594065678,0.5955802458470747,31811,7748,6294
Japanese,jpn,Japonic,CJK,0.9840808551656554,4.128161514575235,0.7043599892442418,0.16790699155366412,9.284874170607388,4.194941394201111,0.995265794548589,loaded,0.014404544638036754,3.02824850155441,0.005557561053418,2.821954660567663,0.9983651479443864,0.0362993355141797,1.654498240655521,0.8703800004632359,47632,11936,9421
Lao,lao,Kra-Dai,South/Southeast Asia,0.6643214670397151,5.0779530776492185,1.04339121186115,0.13650129687311527,9.904795109034085,7.643819038811286,,no_matching_treebank,,,,,0.9989839136266316,0.0152362052363528,1.868929825993949,-1.44072522486019,99976,19989,16405
English (US),eng,Indo-European,North America,0.4607653033046811,4.575308464478771,1.5043389239349945,0.1514973659024999,8.63740721629651,9.929802508270347,0.6313566273631956,loaded,0.26799023211217676,0.4589731476858012,0.665789839621767,3.400819228498327,0.979421487806144,0.0383556404433295,1.521506929322752,-2.1298304855429686,99672,19996,16432
Asturian,ast,Indo-European,Western Europe,0.5693716041911675,5.466553218529785,1.2173897950963144,0.12679784735478444,9.208538774809645,9.601028885687777,,no_matching_treebank,,,,,0.9523100938028096,0.0667262130955955,1.5092469978538474,-1.2954192041498267,99301,19991,16646
