language,lag_characters,lag_seconds,information_bits,surprisal_bits,source
Somali,6,0.7366821885091258,0.0869214253140393,2.237122809711065,google/fleurs
Somali,7,0.8594625532606468,0.0646249460835495,2.150201384397026,google/fleurs
Somali,8,0.9822429180121678,0.045837159355059,2.0855764383134763,google/fleurs
Somali,9,1.1050232827636888,0.0333280497865646,2.039739278958417,google/fleurs
Somali,10,1.2278036475152097,0.024134387052479,2.006411229171853,google/fleurs
Somali,11,1.3505840122667307,0.0178587992020671,1.9822768421193733,google/fleurs
Somali,12,1.4733643770182516,0.0153554734553662,1.9644180429173064,google/fleurs
Somali,13,1.5961447417697727,0.0113945169027855,1.94906256946194,google/fleurs
Somali,14,1.7189251065212936,0.0081520568572439,1.9376680525591543,google/fleurs
Somali,15,1.8417054712728147,0.0062147178105613,1.9295159957019103,google/fleurs
Somali,16,1.964485836024336,0.0043038356861659,1.9233012778913487,google/fleurs
Somali,17,2.0872662007758565,0.0035523710867841,1.9189974422051832,google/fleurs
Somali,18,2.210046565527377,0.0025324895711318,1.915445071118399,google/fleurs
Somali,19,2.332826930278898,0.0018029868784974,1.9129125815472672,google/fleurs
Somali,20,2.45560729503042,0.001340389379896,1.9111095946687693,google/fleurs
Xhosa,1,0.1182768720242389,1.4757852939328413,4.898315454196587,google/fleurs
Xhosa,2,0.2365537440484778,0.3438650735513073,3.422530160263746,google/fleurs
Xhosa,3,0.3548306160727168,0.3925173367441243,3.0786650867124385,google/fleurs
Xhosa,4,0.4731074880969557,0.2945243573473628,2.686147749968314,google/fleurs
Xhosa,5,0.5913843601211947,0.2155745217991067,2.391623392620952,google/fleurs
Xhosa,6,0.7096612321454336,0.1278412597825116,2.1760488708218446,google/fleurs
Xhosa,7,0.8279381041696725,0.0939790642269027,2.048207611039333,google/fleurs
Xhosa,8,0.9462149761939116,0.0579465358545017,1.9542285468124303,google/fleurs
Xhosa,9,1.0644918482181505,0.0402091415288197,1.8962820109579288,google/fleurs
Xhosa,10,1.182768720242389,0.0296559687779149,1.8560728694291089,google/fleurs
Xhosa,11,1.3010455922666282,0.0244670665286272,1.8264169006511937,google/fleurs
Xhosa,12,1.4193224642908673,0.0178126358385199,1.8019498341225664,google/fleurs
Xhosa,13,1.537599336315106,0.0137578854350073,1.7841371982840466,google/fleurs
Xhosa,14,1.655876208339345,0.0097923500532248,1.7703793128490393,google/fleurs
Xhosa,15,1.774153080363584,0.0067942576779531,1.7605869627958144,google/fleurs
Xhosa,16,1.892429952387823,0.0058876649261518,1.7537927051178612,google/fleurs
Xhosa,17,2.010706824412062,0.0042517038774947,1.7479050401917091,google/fleurs
Xhosa,18,2.128983696436301,0.0038363471145974,1.7436533363142146,google/fleurs
Xhosa,19,2.24726056846054,0.0024956379118927,1.7398169891996171,google/fleurs
Xhosa,20,2.3655374404847787,0.0019313174726633,1.7373213512877244,google/fleurs
Swahili,1,0.1428870783593392,1.423142358726436,4.813008385778566,google/fleurs
Swahili,2,0.2857741567186784,0.3701020572614717,3.3898660270521304,google/fleurs
Swahili,3,0.4286612350780175,0.4311587497478011,3.019763969790658,google/fleurs
Swahili,4,0.5715483134373568,0.314492922161103,2.588605220042857,google/fleurs
Swahili,5,0.714435391796696,0.1575002875460018,2.2741122978817545,google/fleurs
Swahili,6,0.8573224701560351,0.0859655721789915,2.1166120103357526,google/fleurs
Swahili,7,1.0002095485153744,0.0774929828979746,2.030646438156761,google/fleurs
Swahili,8,1.1430966268747136,0.0559873253218856,1.9531534552587864,google/fleurs
Swahili,9,1.2859837052340528,0.0421923678073776,1.8971661299369007,google/fleurs
Swahili,10,1.428870783593392,0.034886168873919,1.854973762129523,google/fleurs
Swahili,11,1.5717578619527313,0.0244390409112529,1.820087593255604,google/fleurs
Swahili,12,1.7146449403120705,0.0200252037107673,1.795648552344351,google/fleurs
Swahili,13,1.8575320186714093,0.0149723647956945,1.7756233486335835,google/fleurs
Swahili,14,2.0004190970307487,0.0117838510086563,1.7606509838378892,google/fleurs
Swahili,15,2.143306175390088,0.0087876843694558,1.748867132829233,google/fleurs
Swahili,16,2.286193253749427,0.007254614425918,1.740079448459777,google/fleurs
Swahili,17,2.429080332108766,0.0055323001651386,1.732824834033859,google/fleurs
Swahili,18,2.5719674104681056,0.0042797846766631,1.7272925338687204,google/fleurs
Swahili,19,2.7148544888274446,0.0029772173146676,1.7230127491920573,google/fleurs
Swahili,20,2.857741567186784,0.0020214869076768,1.7200355318773897,google/fleurs
Igbo,1,0.166609046682538,1.2706876646859295,4.966637807754887,google/fleurs
Igbo,2,0.3332180933650761,0.6213230236420575,3.695950143068957,google/fleurs
Igbo,3,0.4998271400476141,0.4236223381853969,3.0746271194268995,google/fleurs
Igbo,4,0.6664361867301521,0.2119406736901856,2.6510047812415025,google/fleurs
Igbo,5,0.8330452334126902,0.1079367666012323,2.439064107551317,google/fleurs
Igbo,6,0.9996542800952282,0.0952620559335399,2.331127340950085,google/fleurs
Igbo,7,1.1662633267777662,0.0767262504992603,2.2358652850165446,google/fleurs
Igbo,8,1.3328723734603043,0.0540025417733276,2.1591390345172843,google/fleurs
Igbo,9,1.4994814201428424,0.0486118760340827,2.1051364927439566,google/fleurs
